,resource_state,athlete,name,distance,moving_time,elapsed_time,total_elevation_gain,type,workout_type,id,start_date,start_date_local,timezone,utc_offset,location_city,location_state,location_country,achievement_count,kudos_count,comment_count,athlete_count,photo_count,map,trainer,commute,manual,private,visibility,flagged,gear_id,start_latlng,end_latlng,average_speed,max_speed,has_heartrate,heartrate_opt_out,display_hide_heartrate_option,elev_high,elev_low,upload_id,upload_id_str,external_id,from_accepted_tag,pr_count,total_photo_count,has_kudoed,average_watts,kilojoules,device_watts,average_heartrate,max_heartrate,average_temp,average_cadence
15,2,"{'id': 5415325, 'resource_state': 1}",Afternoon Run,9334.0,3127,3243,103.3,Run,0.0,175444199,2014-08-04T18:38:04Z,2014-08-04T13:38:04Z,(GMT-06:00) America/Chicago,-18000.0,Duluth,MN,United States,5,0,0,1,0,"{'id': 'a175444199', 'summary_polyline': 'o_||GtqbqP{@gClAoSzAaChGQQqBjJc]rSaBbFeHxD}@tGxApEnN|CuFdJb@hDiBmCdJd@dEeC~Gq@jXqDdJdCgA{ArLsFpBg@}BkGiCqB}F_C[jAoD}@iEyB]gKvLyAdLqIxKhErKaB`JqAs@HwAaCxAbC~Fo@jB{C}@}EhLsE~CaBuJaAc@WhDoBAS|HvFfB[jBoA{BaDlK`B_HaBdAp@iAeAk@BoKzDoHaCg@|@i@}@eFxC_AVcC`FoDMcEsBMaD}FuAyOp@y@', 'resource_state': 2}",False,False,False,False,everyone,False,,"[46.84, -92.1]","[46.84, -92.1]",2.985,5.7,False,False,False,421.6,352.0,191921583,191921583,3F81F875-C773-424A-88A4-7DE3B58F10A0,False,5,0,False,,,,,,,
16,2,"{'id': 5415325, 'resource_state': 1}",Lunch Ride,6545.8,1769,1769,72.1,Ride,0.0,175860021,2014-08-05T16:32:31Z,2014-08-05T11:32:31Z,(GMT-06:00) America/Chicago,-18000.0,Duluth,MN,United States,1,0,0,1,0,"{'id': 'a175860021', 'summary_polyline': 'e`||GjpbqPn@rRxC~EnBGjA_EXjGdHfAxC_KdJkMQyEpG{H}GbUC|GoCvAgAqA{ArBxDbI}BjG^pAuAWD{CsC`BxBdJiAjAaBaCoFrMoFdCy@}Jy@a@[zDyBNm@fIrGzAk@hCTyBoBYiC`Ja@{@pCyEqBbAv@uBiAJP_Gy@MzByIvB_ByCm@tAgAkAsEhDUZsClEqDMqE_CIwCmFwAoO`As@', 'resource_state': 2}",False,False,False,False,everyone,False,,"[46.84, -92.1]","[46.84, -92.1]",3.7,8.9,False,False,False,421.6,369.0,192466614,192466614,C6D2C207-3C74-4C4C-A0D0-DAB68955A84D,False,1,0,False,98.6,174.5,False,,,,
17,2,"{'id': 5415325, 'resource_state': 1}",Morning Run,7975.0,2265,2265,12.2,Ride,0.0,176328932,2014-08-06T14:46:20Z,2014-08-06T09:46:20Z,(GMT-06:00) America/Chicago,-18000.0,Park Rapids,MN,United States,0,0,0,1,0,"{'id': 'a176328932', 'summary_polyline': 'aix}G|snbQnLPlHwKaFcFsCeHcGb@sBxI_NiLmMy@Yt_@yNz^fE}NlHyMUe`@_j@Xe@hOfMvFaL_E_@dPEu`@dt@sAzJjDzH|HxB_JrFk@nJ|N_HxKoI?', 'resource_state': 2}",False,False,False,False,everyone,False,,"[46.99, -94.94]","[46.99, -94.94]",3.521,6.1,False,False,False,456.8,441.6,193098954,193098954,2BC489EB-2C41-4C37-B08D-6BEEBA504716,False,0,0,False,44.8,101.6,False,,,,
18,2,"{'id': 5415325, 'resource_state': 1}",Grouse Road Run,6688.2,1792,1792,22.5,Run,0.0,176815251,2014-08-07T14:33:53Z,2014-08-07T09:33:53Z,(GMT-06:00) America/Chicago,-18000.0,Park Rapids,MN,United States,6,0,0,1,0,"{'id': 'a176815251', 'summary_polyline': 'q~s}GxlrbQmfAr{@{DpOy@x\\wj@zABo_AqOgCkHgMkFo@_Kmg@EcOxA_JlHyGbLkC~A}EpIsJdCmMMcEeIiX', 'resource_state': 2}",False,False,False,False,everyone,False,,"[46.97, -94.96]","[46.99, -94.94]",3.732,6.0,False,False,False,457.5,435.8,193721239,193721239,DCD2D6AA-66A1-4EAD-85CE-6296670D6E99,False,6,0,False,,,,,,,
19,2,"{'id': 5415325, 'resource_state': 1}",Afternoon Ride,15431.6,2864,3211,226.8,Ride,0.0,179404639,2014-08-12T22:54:28Z,2014-08-12T17:54:28Z,(GMT-06:00) America/Chicago,-18000.0,Duluth,MN,United States,0,0,0,1,0,"{'id': 'a179404639', 'summary_polyline': '{jx{Gf}frPkBkB_D|AT{BmEfIaH|DoHuAgArA}CcFiBpF]kDiA`DO}C{@Qp@nGmDoBo@|CdEpA{DQnAvAfCLaEo@RnCoEsKoC{@EdEeAnBOyAaB|HLvAjAQE~DlA`CeCvIlAnCiFbBfDvGF~C_KMbBhCgCw@z@~@{@hBjBp@iCDFxDGoDzCa@oCs@rAmAm@mA|A|BkAmEhKVQsE{C{ErEwBaAiC~BqJqC_M`BoAa@aCr@fBx@mIbCb@vFlKk@iBjEFcCAmA_BfDd@}DuBf@mBnDjAu@wFvAnD|@cD\\lDx@eCd@x@VwCjCpFrJOzHiE~DiI_@lC`DqAbChCkB_CS{D~EicAsCsRGmIzGwaAdS}r@r@}dAhGeZ_AmQeH}HyeAU', 'resource_state': 2}",False,False,False,False,everyone,True,,"[46.66, -92.28]","[46.67, -92.23]",5.388,31.0,False,False,False,276.0,184.4,197190686,197190686,A482F6FD-D03C-49E7-A324-0AF793C23BE0,False,0,0,False,221.4,634.0,False,,,,
20,2,"{'id': 5415325, 'resource_state': 1}",Afternoon Ride,17739.3,3633,5459,279.1,Ride,0.0,179942059,2014-08-13T21:12:11Z,2014-08-13T16:12:11Z,(GMT-06:00) America/Chicago,-18000.0,Duluth,MN,United States,2,0,0,1,0,"{'id': 'a179942059', 'summary_polyline': '_`||GzpbqPg@o@vByWmB_NdDuBoBoJAsU|LqHtK_Or@oFg@{KjAkDvTwEfHmK_CgG@gl@cPIJmmBmHmWsJaOoAqF?olDxDuCm@cGl@{AcEuHgHaB_FeGmTwFeCv@~BpB}Bi@uAnF_H`EN~EoDnEmMwKqKx@iIyF}BbAC}CdFg@cC{Hj@wAkAyFuC}FkAxDiMEoFfG_Me@~GhR}F~FHzCmFbEbA~DJ~NaCpErFt@wGjAyBtHoDuALzNuPt@Jxu@xAtEThu@{G|R@xr@nALiBvBMbMqLf@c@`G', 'resource_state': 2}",False,False,False,False,everyone,False,,"[46.84, -92.1]","[46.87, -92.05]",4.883,17.4,False,False,False,394.8,195.7,197916379,197916379,4B3F609C-2E97-4A33-A580-7E6470BECC23,False,0,0,False,119.4,433.8,False,,,,
21,2,"{'id': 5415325, 'resource_state': 1}",Lunch Run,10591.0,3380,3400,103.5,Run,0.0,227552769,2014-12-08T18:32:43Z,2014-12-08T12:32:43Z,(GMT-06:00) America/Chicago,-21600.0,Duluth,MN,United States,7,0,0,1,0,"{'id': 'a227552769', 'summary_polyline': 'm_||GlqbqPeA\\vApPrBdBVnCxCGP~E_LxIhAnFkA`@pCz@{DpF_@bMhA[_@~CxA_BmCnFl@`AbCuDh@_Fz@hDv@}BiGqATiIfCKPqEpBfLdFsBjFyLhCbBhAyAcCgJ|BiAWvB|ANnBuGgDmJrAgBrE@XoI|DiOlFeG@mGoBaCbAiK_J_S?sCdGx@hJpMrPW~IkF~ArEcDdFThW_E|GUpE~BaCeB|MaBJCkBuCfCQyBiGuAoCyGeBi@tAcDa@sCgDsA_@|B{JtIKpImGxFwEdLT|AoAn@gGsAy@qGuA`FwEcEkAmS', 'resource_state': 2}",False,False,False,False,everyone,False,,"[46.84, -92.1]","[46.84, -92.1]",3.133,5.7,False,False,False,421.7,352.3,257265994,257265994,4F3E8852-92BC-4732-B989-555F27BB67B4,False,1,0,False,,,,,,,
22,2,"{'id': 5415325, 'resource_state': 1}",Lunch Run,9995.6,2990,2998,107.9,Run,0.0,230321896,2014-12-17T18:15:58Z,2014-12-17T12:15:58Z,(GMT-06:00) America/Chicago,-21600.0,Duluth,MN,United States,3,1,0,1,0,"{'id': 'a230321896', 'summary_polyline': 'm_||GpqbqP{@D|A~PjCvFnCIHtEsKbKx@jFoAT~C^qB`B{BzJx@Bc@tFtAD{@fBzByAuCjFf@jAxBeDf@eFbAxCn@qByA{BeDZU}Bh@qEnCE?oDvBvK~E_CtFmMbCxBpAqAiCkJxBcA@vCtA@YuAvAg@[}AhAqAwDeKrHkBLwGjDeO|AeF~Cq@b@cDlD|CiArFzBr@bCxFbGnBZ|BnC}BdB~AlB}MyCZ`F_KAeXvCaF_BwEgMtE}MZeA|CsDjBmCtZkEfFYbJqGnF{E|OcI{@w@wGe@xE}BK{CsDq@uR', 'resource_state': 2}",False,False,False,False,everyone,False,,"[46.84, -92.1]","[46.84, -92.1]",3.343,6.1,False,False,False,421.8,352.0,260388983,260388983,148CDA47-5CEB-4561-B7EB-43619C13283E,False,0,0,False,,,,,,,
23,2,"{'id': 5415325, 'resource_state': 1}",Lunch Run,8481.6,2626,2667,26.2,Run,0.0,270237676,2015-03-18T16:23:22Z,2015-03-18T11:23:22Z,(GMT-06:00) America/Chicago,-18000.0,Duluth,Minnesota,United States,4,0,0,1,0,"{'id': 'a270237676', 'summary_polyline': 'w|p|GrlbqPsDwEqDHgOqRuWaVgOqd@cBuRwOw]mBsM}HwKcC_NkVea@}OoHpPrHdI~P~AExIvPbDpPbGhHfBvLpO`^fBxRvGpU`KjStQdOnPrSlb@_M', 'resource_state': 2}",False,False,False,False,everyone,False,,"[46.79, -92.1]","[46.78, -92.09]",3.23,4.7,False,False,False,199.1,183.5,305372230,305372230,E5176F86-1675-4DEA-93DA-50B8B20A5A44,False,0,0,False,,,,,,,
24,2,"{'id': 5415325, 'resource_state': 1}",Morning Run,6959.0,2172,2899,24.5,Run,0.0,270738645,2015-03-19T15:40:57Z,2015-03-19T10:40:57Z,(GMT-06:00) America/Chicago,-18000.0,Duluth,Minnesota,United States,0,0,0,1,0,"{'id': 'a270738645', 'summary_polyline': 'qqu|G~p{pP_kAkkBIce@yR[{JoZsp@szAxr@x~A|\\blA~d@lo@TfCh]xb@', 'resource_state': 2}",False,False,False,False,everyone,False,,"[46.81, -92.06]","[46.81, -92.06]",3.204,4.9,False,False,False,213.4,196.8,305924613,305924613,5C7C0AC3-7C16-4BE9-864C-2E90652F515D,False,0,0,False,,,,,,,
